100,0,0,4950,100
100,0,1,2539,2443
100,0,2,9009,2377
100,0,3,1091,209
100,0,4,949,185
100,0,5,545,1344
100,1,0,4950,100
100,1,1,99,0
100,1,2,99,0
100,1,3,739,132
100,1,4,660,46
100,1,5,316,1344
100,2,0,4950,100
100,2,1,4950,4950
100,2,2,9900,4950
100,2,3,810,160
100,2,4,808,146
100,2,5,356,1344
100,3,0,4950,100
100,3,1,323,225
100,3,2,990,191
100,3,3,749,147
100,3,4,681,136
100,3,5,402,1344
200,0,0,19900,200
200,0,1,10089,9895
200,0,2,37213,9870
200,0,3,2299,463
200,0,4,2244,407
200,0,5,1304,3088
200,1,0,19900,200
200,1,1,199,0
200,1,2,199,0
200,1,3,1600,256
200,1,4,1414,98
200,1,5,732,3088
200,2,0,19900,200
200,2,1,19900,19900
200,2,2,39800,19900
200,2,3,1848,298
200,2,4,1735,292
200,2,5,812,3088
200,3,0,19900,200
200,3,1,624,427
200,3,2,1990,441
200,3,3,1823,321
200,3,4,1862,289
200,3,5,911,3088
300,0,0,44850,300
300,0,1,22637,22348
300,0,2,84916,22975
300,0,3,4057,711
300,0,4,3776,645
300,0,5,2106,4976
300,1,0,44850,300
300,1,1,299,0
300,1,2,299,0
300,1,3,2770,376
300,1,4,2633,144
300,1,5,1180,4976
300,2,0,44850,300
300,2,1,44850,44850
300,2,2,89700,44850
300,2,3,3065,462
300,2,4,2916,392
300,2,5,1308,4976
300,3,0,44850,300
300,3,1,992,696
300,3,2,2691,689
300,3,3,3135,474
300,3,4,2950,436
300,3,5,1445,4976
400,0,0,79800,400
400,0,1,38484,38088
400,0,2,146433,38334
400,0,3,5944,998
400,0,4,5102,935
400,0,5,2961,6976
400,1,0,79800,400
400,1,1,399,0
400,1,2,399,0
400,1,3,3560,506
400,1,4,3262,194
400,1,5,1664,6976
400,2,0,79800,400
400,2,1,79800,79800
400,2,2,159600,79800
400,2,3,4477,598
400,2,4,4175,540
400,2,5,1824,6976
400,3,0,79800,400
400,3,1,1295,898
400,3,2,3990,924
400,3,3,4440,632
400,3,4,3890,537
400,3,5,2027,6976
500,0,0,124750,500
500,0,1,64069,63575
500,0,2,222554,62552
500,0,3,7641,1265
500,0,4,7453,1175
500,0,5,3847,8976
500,1,0,124750,500
500,1,1,499,0
500,1,2,499,0
500,1,3,4854,638
500,1,4,4930,238
500,1,5,2216,8976
500,2,0,124750,500
500,2,1,124750,124750
500,2,2,249500,124750
500,2,3,5372,798
500,2,4,6489,686
500,2,5,2272,8976
500,3,0,124750,500
500,3,1,1657,1158
500,3,2,4990,1102
500,3,3,5672,774
500,3,4,6133,677
500,3,5,2607,8976
600,0,0,179700,600
600,0,1,85565,84972
600,0,2,352811,92844
600,0,3,9005,1578
600,0,4,9141,1467
600,0,5,4811,11152
600,1,0,179700,600
600,1,1,599,0
600,1,2,599,0
600,1,3,6513,776
600,1,4,5717,286
600,1,5,2660,11152
600,2,0,179700,600
600,2,1,179700,179700
600,2,2,359400,179700
600,2,3,7194,898
600,2,4,6448,816
600,2,5,2916,11152
600,3,0,179700,600
600,3,1,1955,1357
600,3,2,5990,1455
600,3,3,7002,942
600,3,4,6715,821
600,3,5,3230,11152
700,0,0,244650,700
700,0,1,118392,117702
700,0,2,462738,124025
700,0,3,11595,1862
700,0,4,10935,1723
700,0,5,5757,13352
700,1,0,244650,700
700,1,1,699,0
700,1,2,699,0
700,1,3,7580,884
700,1,4,7286,346
700,1,5,3172,13352
700,2,0,244650,700
700,2,1,244650,244650
700,2,2,489300,244650
700,2,3,8711,1144
700,2,4,7923,1046
700,2,5,3504,13352
700,3,0,244650,700
700,3,1,2283,1586
700,3,2,6990,1587
700,3,3,7858,1117
700,3,4,7917,973
700,3,5,3838,13352
800,0,0,319600,800
800,0,1,160876,160082
800,0,2,612034,159623
800,0,3,12829,2178
800,0,4,13771,1960
800,0,5,6743,15552
800,1,0,319600,800
800,1,1,799,0
800,1,2,799,0
800,1,3,8997,1022
800,1,4,8696,400
800,1,5,3728,15552
800,2,0,319600,800
800,2,1,319600,319600
800,2,2,639200,319600
800,2,3,11355,1388
800,2,4,9411,1130
800,2,5,4048,15552
800,3,0,319600,800
800,3,1,2560,1764
800,3,2,7990,1774
800,3,3,9027,1269
800,3,4,9892,1122
800,3,5,4450,15552
900,0,0,404550,900
900,0,1,207439,206543
900,0,2,774938,197903
900,0,3,14284,2511
900,0,4,13769,2339
900,0,5,7668,17752
900,1,0,404550,900
900,1,1,899,0
900,1,2,899,0
900,1,3,10595,1132
900,1,4,10395,416
900,1,5,4304,17752
900,2,0,404550,900
900,2,1,404550,404550
900,2,2,809100,404550
900,2,3,12760,1454
900,2,4,10754,1048
900,2,5,4572,17752
900,3,0,404550,900
900,3,1,2958,2061
900,3,2,8990,2078
900,3,3,12339,1407
900,3,4,10222,1261
900,3,5,5083,17752
1000,0,0,499500,1000
1000,0,1,243905,242915
1000,0,2,990009,244610
1000,0,3,16329,2855
1000,0,4,16942,2565
1000,0,5,8714,19952
1000,1,0,499500,1000
1000,1,1,999,0
1000,1,2,999,0
1000,1,3,11367,1250
1000,1,4,10745,478
1000,1,5,4932,19952
1000,2,0,499500,1000
1000,2,1,499500,499500
1000,2,2,999000,499500
